method,model_version,prompt_version,reasoning,prior_correction,data_path,split,setup_id,n_boards,correct_square,correct_square_mean,correct_board,correct_board_mean,board_rank,board_rank_mean,first_output_illegal,first_output_illegal_mean,none_legal,none_legal_mean,input_tokens,input_tokens_mean,output_tokens,output_tokens_mean,inference_time,inference_time_mean,cost,cost_mean,n_suggested,n_suggested_mean
cnn,optimised,1,none,false,data/generated/data.csv,test,2026-07-22_202602,8,"[0.765625, 0.765625, 0.765625, 0.78125, 0.765625, 0.78125, 0.796875, 0.8125]",0.779296875,"[false, true, true, true, true, true, true, true]",0.875,"[0.9259259259259259, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9907407407407407,"[null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.9220000000059372, 1.687999999994645, 1.6089999999967404, 1.8280000000086147, 1.875, 1.9530000000086147, 1.639999999999418, 1.6570000000065193]",1.7715000000025611,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,val,2026-07-09_205328,18,"[0.625, 0.625, 0.53125, 0.625, 0.59375, 0.59375, 0.59375, 0.609375, 0.609375, 0.5625, 0.53125, 0.625, 0.59375, 0.578125, 0.5625, 0.59375, 0.546875, 0.578125]",0.5876736111111112,"[true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, true, true, true]",0.8888888888888888,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6071428571428572, 0.2222222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9349647266313933,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.7189999999973224, 2.577999999994063, 2.110000000000582, 1.9369999999908032, 2.4060000000026776, 2.9219999999913853, 2.0160000000032596, 1.875, 1.7819999999919673, 1.5780000000086147, 2.0939999999973224, 2.125, 2.297000000005937, 2.375, 2.187000000005355, 2.1409999999887077, 2.187000000005355, 2.188000000009197]",2.1398333333329194,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,val,2026-07-22_200019,17,"[0.65625, 0.625, 0.578125, 0.59375, 0.59375, 0.5625, 0.5625, 0.546875, 0.546875, 0.546875, 0.5625, 0.5625, 0.59375, 0.59375, 0.59375, 0.578125, 0.609375]",0.5827205882352942,"[true, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, true]",0.8823529411764706,"[1.0, 1.0, 0.9473684210526316, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9791666666666666, 1.0, 1.0, 1.0]",0.9956785345717234,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.6560000000026776, 2.860000000000582, 2.202999999994063, 2.4689999999973224, 2.264999999999418, 2.25, 2.5160000000032596, 2.6089999999967404, 2.1410000000032596, 2.25, 2.2810000000026776, 2.7820000000065193, 2.937999999994645, 2.639999999999418, 2.938000000009197, 2.4530000000086147, 2.375]",2.5074117647069643,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,val,2026-07-22_201154,11,"[0.640625, 0.625, 0.609375, 0.640625, 0.65625, 0.640625, 0.671875, 0.671875, 0.671875, 0.65625, 0.640625]",0.6477272727272727,"[true, false, true, true, true, false, true, true, true, false, false]",0.6363636363636364,"[1.0, 0.9722222222222222, 1.0, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0, 0.975, 0.9655172413793104]",0.9897944966910484,"[null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.5, 2.4689999999973224, 3.0319999999919673, 2.5160000000032596, 2.375, 2.25, 2.1410000000032596, 2.077999999994063, 2.5310000000026776, 2.375, 2.688000000009197]",2.450454545454704,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,val,2026-07-22_203121,10,"[0.71875, 0.703125, 0.6875, 0.703125, 0.6875, 0.6875, 0.6875, 0.703125, 0.6875, 0.703125]",0.696875,"[true, true, false, false, true, true, true, true, false, true]",0.7,"[1.0, 1.0, 0.9512195121951219, 0.9705882352941176, 1.0, null, 1.0, 1.0, 0.975609756097561, 1.0]",0.9886019448429777,"[null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.7810000000026776, 2.561999999990803, 2.639999999999418, 2.75, 2.5, 2.875, 2.7189999999973224, 2.7189999999973224, 3.047000000005937, 2.7190000000118744]",2.7312000000005354,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,val,2026-07-22_203700,18,"[0.703125, 0.734375, 0.703125, 0.6875, 0.65625, 0.640625, 0.625, 0.65625, 0.640625, 0.625, 0.640625, 0.65625, 0.65625, 0.671875, 0.703125, 0.703125, 0.75, 0.75]",0.6779513888888888,"[true, true, true, true, true, true, true, false, true, false, false, true, true, true, true, true, true, true]",0.8333333333333334,"[1.0, 1.0, null, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 1.0, 0.9655172413793104, 0.9655172413793104, 1.0, null, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9922174329501916,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.7810000000026776, 2.9059999999881256, 2.827999999994063, 2.687000000005355, 3.062999999994645, 2.610000000000582, 2.7189999999973224, 2.735000000000582, 3.389999999999418, 2.937000000005355, 2.8289999999979045, 2.936999999990803, 2.8589999999967404, 2.7660000000032596, 2.7339999999967404, 2.8289999999979045, 2.8589999999967404, 2.875]",2.852444444442679,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-01_210216,7,"[0.609375, 0.578125, 0.546875, 0.625, 0.640625, 0.59375, 0.46875]",0.5803571428571429,"[true, false, false, false, true, true, true]",0.5714285714285714,"[1.0, 0.8518518518518519, 0.9, 0.9259259259259259, 1.0, 1.0, 1.0]",0.953968253968254,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[2.5930000000080327, 2.5780000000086147, 2.6089999999967404, 2.625, 2.7820000000065193, 3.014999999999418, 2.7030000000086147]",2.700714285718277,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-06_204708,9,"[0.609375, 0.640625, 0.625, 0.65625, 0.640625, 0.65625, 0.703125, 0.703125, 0.671875]",0.65625,"[true, true, true, true, true, true, true, true, false]",0.8888888888888888,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9811320754716981]",0.9979035639412999,"[null, null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[3.4840000000112923, 3.5, 3.422000000005937, 3.0160000000032596, 2.9060000000026776, 3.813000000009197, 4.60899999999674, 3.5, 2.764999999999418]",3.44611111111428,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_083055,8,"[0.703125, 0.671875, 0.625, 0.578125, 0.59375, 0.546875, 0.609375, 0.515625]",0.60546875,"[true, true, false, false, false, false, false, false]",0.25,"[1.0, 1.0, 0.9411764705882353, 0.9696969696969697, 0.8947368421052632, 0.6888888888888889, 0.8888888888888888, 0.9555555555555556]",0.9173679519654752,"[null, null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2.562999999994645, 2.5, 2.5310000000026776, 2.5469999999913853, 2.577999999994063, 2.5310000000026776, 3.5, 2.5310000000026776]",2.6601249999985157,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_090013,7,"[0.703125, 0.6875, 0.609375, 0.671875, 0.65625, 0.671875, 0.6875]",0.6696428571428571,"[true, true, true, true, true, false, true]",0.8571428571428571,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.975, 1.0]",0.9964285714285713,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[2.547000000005937, 2.514999999999418, 2.985000000000582, 2.827999999994063, 2.860000000000582, 2.4839999999967404, 2.5]",2.6741428571424746,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_090457,6,"[0.640625, 0.578125, 0.546875, 0.53125, 0.625, 0.53125]",0.5755208333333334,"[true, false, true, false, false, true]",0.5,"[1.0, 0.9772727272727273, 1.0, 0.9069767441860466, 0.9714285714285714, 1.0]",0.9759463404812242,"[null, null, null, null, null, null]",,"[null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0]",0.0,"[2.5160000000032596, 2.485000000000582, 3.0, 2.0, 2.0, 1.9689999999973224]",2.328333333333527,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_090950,7,"[0.5625, 0.5, 0.5, 0.546875, 0.53125, 0.546875, 0.578125]",0.5379464285714286,"[false, true, false, false, true, false, true]",0.42857142857142855,"[0.9318181818181819, 1.0, 0.8666666666666667, 0.9583333333333334, 1.0, 0.6666666666666667, 1.0]",0.9176406926406927,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[1.9689999999973224, 1.9679999999934807, 1.9530000000086147, 1.9690000000118744, 1.9530000000086147, 1.9689999999973224, 2.0]",1.968714285716747,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_091513,7,"[0.625, 0.625, 0.625, 0.65625, 0.640625, 0.609375, 0.65625]",0.6339285714285714,"[false, true, true, true, true, false, true]",0.7142857142857143,"[0.9772727272727273, 1.0, 1.0, 1.0, 1.0, 0.9777777777777777, 1.0]",0.9935786435786437,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[1.9840000000112923, 1.9680000000080327, 1.9840000000112923, 2.5310000000026776, 2.6089999999967404, 2.125, 2.047000000005937]",2.1782857142908534,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
cnn,optimised_5k,1,none,false,data/generated/data.csv,test,2026-07-07_092310,7,"[0.6875, 0.6875, 0.671875, 0.65625, 0.65625, 0.6875, 0.6875]",0.6763392857142857,"[true, false, false, false, true, false, false]",0.2857142857142857,"[1.0, 0.9803921568627451, 0.9347826086956522, 0.8490566037735849, 1.0, 0.8695652173913043, 0.8478260869565217]",0.9259460962399727,"[null, null, null, null, null, null, null]",,"[null, null, null, null, null, null, null]",,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[2.062000000005355, 2.077999999994063, 2.0939999999973224, 2.1090000000112923, 2.172000000005937, 2.1569999999919673, 2.0]",2.0960000000008483,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,,
